District,U/R,CPN,Discp.
JACOBABAD,R,69.637,MTE
JACOBABAD,R,69.619,ES
JACOBABAD,R,69.547,EL-K
JACOBABAD,R,69.523,ME-K
JACOBABAD,R,69.236,CH
JACOBABAD,R,69.182,ME-K
JACOBABAD,R,69.031,PG
JACOBABAD,R,68.243,ME-K
JACOBABAD,R,67.98899999999999,PG
JACOBABAD,R,67.813,SW
JACOBABAD,R,67.389,TL
JACOBABAD,R,67.283,ES-K
JACOBABAD,R,66.851,ES-K
JACOBABAD,R,66.691,PG-K
JACOBABAD,R,66.404,EE
JACOBABAD,R,66.139,TE
JACOBABAD,R,65.939,CS
JACOBABAD,R,65.86,SW
JACOBABAD,R,65.669,TL
JACOBABAD,R,65.247,AR
JACOBABAD,R,64.414,AR
JACOBABAD,R,64.288,MT
JACOBABAD,R,63.888000000000005,IN
JACOBABAD,R,63.88399999999999,CRP
JACOBABAD,R,63.595,MN
JACOBABAD,R,63.58,TE
JAMSHORO,U,82.375,ME
JAMSHORO,U,74.067,EL
JAMSHORO,U,74.04899999999999,SW
JAMSHORO,R,79.28399999999999,CE
JAMSHORO,R,79.207,CE
JAMSHORO,R,76.751,CE
JAMSHORO,R,75.891,ES
JAMSHORO,R,74.545,EL
JAMSHORO,R,73.318,EL
JAMSHORO,R,72.52,ME
JAMSHORO,R,71.722,ME
JAMSHORO,R,70.774,SW
JAMSHORO,R,70.661,ES
JAMSHORO,R,70.447,CS
JAMSHORO,R,69.70100000000001,ES
JAMSHORO,R,69.48899999999999,CH
JAMSHORO,R,69.262,CS
JAMSHORO,R,68.9,CS
JAMSHORO,R,68.572,TL
JAMSHORO,R,68.335,BM
JAMSHORO,R,68.22800000000001,MTE
JAMSHORO,R,68.202,TL
JAMSHORO,R,68.20100000000001,TL
JAMSHORO,R,66.833,TE
JAMSHORO,R,66.818,TE
JAMSHORO,R,66.719,ES-K
JAMSHORO,R,66.679,AR
JAMSHORO,R,66.628,CE-K
JAMSHORO,R,66.445,EL-K
JAMSHORO,R,66.116,PG
JAMSHORO,R,66.006,AR
JAMSHORO,R,65.861,IN
JAMSHORO,R,65.572,MT
JAMSHORO,R,65.109,PG-K
JAMSHORO,R,64.99,MN
JAMSHORO,R,64.684,CRP
KAMBAR,U,79.02199999999999,CS
KAMBAR,U,74.348,CE-K
KAMBAR,U,72.938,EL-K
KAMBAR,R,81.605,CE
KAMBAR,R,81.551,EL
KAMBAR,R,80.92699999999999,ME
KAMBAR,R,79.381,CH
KAMBAR,R,76.936,SW
KAMBAR,R,76.73,CE-K
KAMBAR,R,76.611,MTE
KAMBAR,R,76.6,AR
KAMBAR,R,76.35600000000001,ES
KAMBAR,R,76.34,ES
KAMBAR,R,75.936,PG
KAMBAR,R,75.848,CS
KAMBAR,R,75.798,SW
KAMBAR,R,75.433,PG
KAMBAR,R,74.91199999999999,CH
KAMBAR,R,74.419,TL
KAMBAR,R,73.30199999999999,EL-K
KAMBAR,R,72.986,TL
KAMBAR,R,72.888,EE
KAMBAR,R,72.21,EL-K
KAMBAR,R,72.187,MT
KAMBAR,R,72.157,MT
