District,U/R,CPN,Discp.
1,1,80.65100000000002,4
1,1,77.465,22
1,1,76.22,7
1,1,75.53399999999998,4
1,1,73.78399999999998,3
1,1,73.712,6
1,1,73.695,7
1,1,72.959,3
1,1,72.666,22
1,1,72.586,3
1,1,72.449,4
1,1,71.624,4
1,1,71.472,7
1,1,71.10300000000002,7
1,1,70.31,7
1,1,70.09,18
1,1,69.645,7
1,1,69.584,7
1,1,69.574,4
1,1,69.403,6
1,1,69.348,3
1,1,69.294,4
1,1,69.182,3
1,1,69.068,23
1,1,69.053,1
1,1,68.565,3
1,1,68.492,6
1,1,68.209,13
1,1,68.12100000000001,16
1,1,68.118,9
1,1,68.096,16
1,1,67.87899999999999,5
1,1,67.347,1
1,1,67.27600000000001,16
1,1,67.197,18
1,1,67.156,6
1,1,67.095,6
1,1,66.926,23
1,1,66.828,5
1,1,66.686,18
1,1,66.645,5
1,1,66.542,5
1,1,66.493,13
1,1,66.366,2
1,1,66.217,13
1,1,66.083,2
1,1,65.833,8
1,1,65.733,2
1,1,65.686,11
1,1,65.42399999999999,2
1,1,65.212,2
1,1,65.211,8
1,1,65.173,15
1,1,65.157,2
1,1,63.868,19
1,1,63.837,15
1,1,63.71100000000001,13
1,1,63.63399999999999,15
1,1,63.344,12
1,1,63.213,11
1,1,62.815,20
1,1,62.51600000000001,24
1,1,62.44300000000001,15
1,1,62.173,19
1,1,62.065,24
1,1,61.99800000000001,8
1,1,61.983,17
1,1,61.89100000000001,21
1,1,61.842,17
1,1,61.752,8
1,1,61.583,24
1,1,61.428,17
1,1,61.427,17
1,1,61.235,8
1,1,61.018,19
1,1,60.994,10
1,1,60.865,10
1,1,60.844,14
1,1,60.793,14
1,1,60.57899999999999,14
16,2,74.925,3
16,2,74.58,1
16,2,73.669,11
16,2,72.939,6
16,1,78.597,7
16,1,77.71300000000002,4
16,1,74.732,16
16,1,74.168,23
16,1,73.643,13
16,1,72.156,6
16,1,71.666,5
16,1,70.70100000000002,9
16,1,70.273,13
16,1,69.832,1
16,1,69.594,11
16,1,69.37,9
16,1,68.96300000000001,5
16,1,67.661,12
16,1,67.344,2
16,1,67.308,12
16,1,66.111,15
16,1,66.087,20
16,1,66.079,10
16,1,66.063,2
16,1,65.964,2
16,1,65.827,21
16,1,65.824,20
16,1,65.61,22
16,1,65.503,10
16,1,65.373,10
16,1,65.251,21
16,1,65.156,17
16,1,65.018,14
16,1,64.967,24
16,1,64.695,14
16,1,62.809,19
16,1,62.785,8
16,1,62.557,8
20,1,82.671,3
20,1,71.437,7
20,1,69.456,4
20,1,69.012,3
20,1,68.391,4
20,1,67.984,7
20,1,67.58800000000001,1
20,1,66.972,7
20,1,66.584,4
20,1,65.23,6
20,1,64.686,22
20,1,64.41,1
20,1,63.607,24
20,1,62.895,6
20,1,62.63399999999999,23
