District,U/R,CPN,Discp.
Kambar,R,70.834,ES-K
Kambar,R,70.499,AR
Kambar,R,70.063,PG-K
Kambar,R,70.000,MN
Kambar,R,69.796,SW-K
Kambar,R,69.065,TE
Kambar,R,69.049,CRP
Kambar,R,68.780,CRP
Kambar,R,68.715,PG-K
Karachi,U,81.205,ME-K
Karachi,U,78.653,SW
Karachi,U,76.757,ES
Karachi,U,76.479,SW
Karachi,U,75.641,CH
Karachi,U,73.904,CH
Karachi,U,72.589,ES
Karachi,U,72.417,CS-P
Karachi,U,71.526,TL
Karachi,U,70.702,BM
Karachi,U,70.358,IN
Karachi,U,70.104,CE-K
Karachi,U,69.063,TL
Karachi,U,68.731,AR
Karachi,U,68.336,TE
Karachi,U,67.966,CS
Karachi,U,67.943,IN
Karachi,U,67.525,SW-K
Karachi,U,67.424,IN
Karachi,U,67.161,TE
Karachi,U,67.147,MT
Karachi,U,66.982,PG-K
Karachi,U,66.936,MN
Karachi,U,66.652,MT
Karachi,U,66.570,MN
Kashmore,U,76.386,EL-K
Kashmore,U,69.463,BM
Kashmore,U,67.317,SW-K
Kashmore,U,64.811,CRP
Kashmore,R,86.042,ME
Kashmore,R,81.882,El
Kashmore,R,79.352,CE-K
Kashmore,R,76.758,CE-K
Kashmore,R,74.829,ES
Kashmore,R,74.690,EL-K
Kashmore,R,74.582,CH-P
Kashmore,R,74.104,ME-K
Kashmore,R,73.665,PG
Kashmore,R,73.553,ES-K
Kashmore,R,73.326,SW
Kashmore,R,73.125,ES-K
Kashmore,R,73.049,SW
Kashmore,R,72.372,PG-K
Kashmore,R,71.989,MT
Kashmore,R,70.297,IN
Kashmore,R,69.938,CS
Kashmore,R,69.694,AR
Kashmore,R,69.439,TL
Kashmore,R,68.744,MN
Kashmore,R,67.863,TE
Khairpur,U,79.516,EL
Khairpur,U,76.862,ES
Khairpur,U,74.508,SW
Khairpur,U,74.106,MN
Khairpur,U,73.123,IN
Khairpur,U,73.092,ES-K-P
Khairpur,U,72.734,SW-K
Khairpur,U,72.561,SW-K
Khairpur,U,72.386,ES-K
Khairpur,U,72.184,ES-K
Khairpur,U,72.054,SW-K
Khairpur,U,71.974,SW-K
Khairpur,R,82.005,CE
Khairpur,R,80.269,CE
Khairpur,R,80.037,EL
Khairpur,R,78.971,ME
Khairpur,R,78.956,CE-K
Khairpur,R,78.829,ME
Khairpur,R,78.608,ME-PESH
Khairpur,R,78.083,CE-K
Khairpur,R,77.797,IN
Khairpur,R,77.753,CH
Khairpur,R,77.647,CE-K-P
Khairpur,R,77.511,CE-K
Khairpur,R,77.421,ES
Khairpur,R,77.301,CE-K
Khairpur,R,77.273,SW
Khairpur,R,76.563,ES
Khairpur,R,75.888,CH
Khairpur,R,75.884,CH
Khairpur,R,75.614,EL-K
Khairpur,R,75.525,PG
Khairpur,R,75.458,CE-K
Khairpur,R,75.391,CE-K
Khairpur,R,75.373,SW
Khairpur,R,75.340,CS
Khairpur,R,75.222,EL-K
Khairpur,R,75.141,EL-K
Khairpur,R,74.805,SW
Khairpur,R,74.794,EL-K
Khairpur,R,74.587,PG
Khairpur,R,74.530,ME-K
Khairpur,R,74.518,PG
Khairpur,R,74.248,EL-K
Khairpur,R,73.990,EL-K
Khairpur,R,73.948,IN
Khairpur,R,73.908,ME-K
Khairpur,R,73.892,EL-K
Khairpur,R,73.795,CS
Khairpur,R,73.503,ME-K
Khairpur,R,73.430,ME-K
Khairpur,R,73.403,ME-K
Khairpur,R,73.314,CS
Khairpur,R,73.290,CRP
Khairpur,R,73.260,ME-K
Khairpur,R,73.221,MTE-P
Khairpur,R,73.164,ME-K
Khairpur,R,73.160,TL
Khairpur,R,72.682,TL
Khairpur,R,72.567,ES-K
Khairpur,R,72.425,BM
Khairpur,R,72.390,ES-K
Khairpur,R,72.204,PG-K
Khairpur,R,72.065,ES-K
Khairpur,R,72.063,PG-K
Khairpur,R,72.020,EE
Khairpur,R,71.873,PG-K
Khairpur,R,71.853,MT
Khairpur,R,71.791,SW-K
Khairpur,R,71.676,PG-K
Khairpur,R,71.599,PG-K
Khairpur,R,71.571,PG-K
Khairpur,R,71.567,AR
Khairpur,R,71.456,AR
Khairpur,R,71.418,AR
Khairpur,R,71.375,CRP
Khairpur,R,71.240,TL
Khairpur,R,71.123,TL
Khairpur,R,71.013,CRP
Khairpur,R,70.913,MT
Khairpur,R,70.748,MN
Khairpur,R,70.626,TE
Khairpur,R,70.585,MN-P
Khairpur,R,70.514,TE
Khairpur,R,70.380,TE
Larkana,U,84.659,CE
Larkana,U,84.261,EL
Larkana,U,79.021,CS
Larkana,U,77.842,SW
Larkana,U,77.690,CE-K
Larkana,U,77.347,CS
Larkana,U,77.278,SW
Larkana,U,75.703,EL-K
Larkana,U,75.696,PG
Larkana,U,74.548,EE
Larkana,U,74.522,MT
